"ticker", "cfo_name", "first_call_date", "last_call_date", "total_calls"
"MSM-N", "Jeff-Kaczka", "2011-06-30", "2015-07-07", "16"
"MSTR-OQ", "Rustom-Jilla", "2015-10-27", "2015-10-27", "1"
"MSTR-OQ", "Arthur-Locke", "2005-01-27", "2005-04-28", "2"
"MSTR-OQ", "Doug-Thede", "2014-10-27", "2015-07-27", "4"
"MSTR-OQ", "Eric-Brown", "2004-01-29", "2004-10-26", "4"
"MTB-N", "Phong-Le", "2015-10-26", "2015-10-26", "1"
"MTB-N", "Michael-Pinto", "2004-01-12", "2005-04-19", "5"
"MTD-N", "Rene-Jones", "2005-07-12", "2015-10-19", "41"
"MTD-N", "Bill-Donnelly", "2004-08-10", "2013-07-25", "38"
"MTEX-OQ", "Dennis-Braun", "2004-02-05", "2004-07-22", "3"
"MTEX-OQ", "Mark-Nicholls", "2012-03-29", "2012-03-29", "1"
"MTG-N", "Steve-Fenstermacher", "2006-08-10", "2011-08-04", "13"
"MTH-N", "Mike-Lauer", "2004-01-12", "2013-10-16", "37"
"MTOR-N", "Larry-Seay", "2004-01-29", "2015-10-29", "49"
"MTOR-N", "Carl-Soderstrom", "2004-04-23", "2004-11-15", "3"
"MTOR-N", "James-Donlon", "2005-05-03", "2008-05-28", "24"
"MTOR-N", "Jay-Craig", "2008-05-28", "2012-11-14", "31"
"MTOR-N", "Kevin-Nowlan", "2013-02-05", "2013-12-04", "6"
"MTRN-N", "Rakesh-Sachdev", "2005-01-12", "2005-01-12", "1"
"MTRN-N", "Joe-Kelley", "2015-02-19", "2015-02-19", "1"
"MTRX-OQ", "John-Grampa", "2004-01-28", "2014-10-23", "41"
"MTRX-OQ", "Kevin-Cavanah", "2011-02-07", "2015-11-05", "20"
"MTRX-OQ", "Les-Austin", "2005-08-15", "2008-01-09", "6"
"MTSC-OQ", "Tom-Long", "2008-08-05", "2010-11-05", "10"
"MTSC-OQ", "Jeff-Graves", "2012-08-03", "2012-08-03", "1"
"MTSC-OQ", "Jeff-Oldenkamp", "2015-02-03", "2015-12-03", "4"
"MTW-N", "Susan-Knight", "2004-07-22", "2014-11-11", "35"
"MTW-N", "Carl-Laurino", "2004-08-03", "2013-10-25", "33"
"MTX-N", "Tim-Wood", "2004-02-05", "2004-04-29", "2"
"MTX-N", "Doug-Dietrich", "2011-02-04", "2015-10-23", "19"
"MTZ-N", "John-Sorel", "2004-01-23", "2010-10-29", "27"
"MU-OQ", "Bob-Campbell", "2005-01-05", "2013-11-01", "31"
"MU-OQ", "Bill-Stover", "2004-03-24", "2007-06-28", "13"
"MU-OQ", "Ernie-Maddock", "2015-06-25", "2015-12-22", "3"
"MU-OQ", "Mark-Adams", "2015-04-01", "2015-04-01", "1"
"MUR-N", "Ron-Foster", "2008-06-26", "2014-09-25", "25"
"MUR-N", "John-Eckart", "2015-04-30", "2015-10-29", "2"
"MUSA-N", "Kevin-Fitzgerald", "2007-02-01", "2015-01-29", "28"
"MUSE-OQxB06", "Mindy-West", "2013-11-07", "2015-11-05", "9"
"MUSE-OQxB06", "Ian-Hallifiax", "2005-01-26", "2005-11-16", "5"
